"Source","Target","Type","Weight","Source_Symbol","Target_Symbol"
"401022","3568","Gene-Gene",2.80321102681676,"HAGLR","IL5RA"
"101929072","55036","Gene-Gene",2.47115605506783,"MICA-AS1","CCDC40"
"105378597","140862","Gene-Gene",2.2699858329335,"MMEL1-AS1","ISM1"
"729224","83450","Gene-Gene",2.22923206159763,"KIAA2012-AS1","DRC3"
"79740","84332","Gene-Gene",2.15863010461045,"ZBBX","DYDC2"
"100652824","144406","Gene-Gene",2.04378306316458,"KIAA2012","CFAP251"
"105375483","91807","Gene-Gene",2.03557016677671,"LOC105375483","MYLK3"
"101929072","100287718","Gene-Gene",1.90624752352197,"MICA-AS1","ANKRD66"
"387885","140862","Gene-Gene",1.9005549987397,"CFAP73","ISM1"
"144406","164284","Gene-Gene",1.88581204599359,"CFAP251","APCDD1L"
"101929072","55785","Gene-Gene",1.86624764105268,"MICA-AS1","FGD6"
"144406","1770","Gene-Gene",1.85902724737141,"CFAP251","DNAH9"
"401022","5332","Gene-Gene",1.78906805363743,"HAGLR","PLCB4"
"55785","140862","Gene-Gene",1.73740602824965,"FGD6","ISM1"
"83450","164284","Gene-Gene",1.67709263803191,"DRC3","APCDD1L"
"105375483","140862","Gene-Gene",1.67594137574583,"LOC105375483","ISM1"
"401022","83450","Gene-Gene",1.64510486620752,"HAGLR","DRC3"
"105378597","101929072","Gene-Gene",1.59872226169727,"MMEL1-AS1","MICA-AS1"
"729224","387885","Gene-Gene",1.53115072035335,"KIAA2012-AS1","CFAP73"
"729224","144406","Gene-Gene",1.51211830285116,"KIAA2012-AS1","CFAP251"
"200162","100652824","Gene-Gene",1.47823140580177,"SPAG17","KIAA2012"
"401124","101928817","Gene-Gene",1.42022817904744,"DTHD1","LOC101928817"
"80217","83450","Gene-Gene",1.40521971304545,"CFAP43","DRC3"
"101929072","164284","Gene-Gene",1.35849173562981,"MICA-AS1","APCDD1L"
"129881","80217","Gene-Gene",1.32899840865149,"CFAP210","CFAP43"
