"Source","Target","Type","Weight","Source_CpG_Gene","Target_CpG_Gene"
"cg13711238","cg10729426","CpG-CpG",15.653559774527,"FAM110B","ZNF549"
"cg10729426","cg04468081","CpG-CpG",15.653559774527,"ZNF549","MCF2L2"
"cg00305774","cg09929879","CpG-CpG",15.653559774527,"TMEM88B","DIP2C"
"cg09929879","cg03070236","CpG-CpG",15.653559774527,"DIP2C","ADCY9"
"cg20059012","cg23978242","CpG-CpG",15.653559774527,"RARG","DIP2C"
"cg00305774","cg03070236","CpG-CpG",15.653559774527,"TMEM88B","ADCY9"
"cg23978242","cg04155024","CpG-CpG",15.653559774527,"DIP2C","PIGA"
"cg00765686","cg23978242","CpG-CpG",15.653559774527,"NHS","DIP2C"
"cg23978242","cg10645314","CpG-CpG",15.653559774527,"DIP2C","ALLC"
"cg01931994","cg04155024","CpG-CpG",15.653559774527,"FAM5B","PIGA"
"cg07026882","cg05556923","CpG-CpG",15.653559774527,"ATP11A","PDGFA"
"cg23978242","cg03940437","CpG-CpG",15.653559774527,"DIP2C","CCDC21"
"cg06063519","cg03070236","CpG-CpG",15.653559774527,"IGF1R","ADCY9"
"cg13711238","cg04468081","CpG-CpG",15.653559774527,"FAM110B","MCF2L2"
"cg02067585","cg05556923","CpG-CpG",15.653559774527,"ATP11A","PDGFA"
"cg20981848","cg03070236","CpG-CpG",15.653559774527,"BTBD3","ADCY9"
"cg21049501","cg00637826","CpG-CpG",15.653559774527,"SOX9","DUSP16"
"cg10729426","cg11464571","CpG-CpG",15.653559774527,"ZNF549","GNAI1"
"cg13711238","cg06287775","CpG-CpG",15.653559774527,"FAM110B","FOXK1"
"cg21049501","cg06063519","CpG-CpG",15.653559774527,"SOX9","IGF1R"
"cg00765686","cg05058069","CpG-CpG",15.653559774527,"NHS","BANP"
"cg00765686","cg03940437","CpG-CpG",15.653559774527,"NHS","CCDC21"
"cg02067585","cg07026882","CpG-CpG",15.653559774527,"ATP11A","ATP11A"
"cg21049501","cg08304084","CpG-CpG",15.653559774527,"SOX9","SALL1"
"cg10729426","cg01931994","CpG-CpG",15.653559774527,"ZNF549","FAM5B"
"cg10729426","cg16819392","CpG-CpG",15.653559774527,"ZNF549","ARMC3"
"cg23978242","cg00999904","CpG-CpG",15.653559774527,"DIP2C","ALLC"
"cg13711238","cg07891862","CpG-CpG",15.653559774527,"FAM110B","PTK2"
"cg13711238","cg05099464","CpG-CpG",15.653559774527,"FAM110B","ARHGEF12"
"cg13711238","cg12546981","CpG-CpG",15.653559774527,"FAM110B","TAAR6"
"cg24587400","cg21049501","CpG-CpG",15.653559774527,"BIN1","SOX9"
"cg04426802","cg07026882","CpG-CpG",15.653559774527,"FAM53B","ATP11A"
"cg13711238","cg05556923","CpG-CpG",15.653559774527,"FAM110B","PDGFA"
"cg10729426","cg12546981","CpG-CpG",15.653559774527,"ZNF549","TAAR6"
"cg10729426","cg07108579","CpG-CpG",15.653559774527,"ZNF549","SATB1"
"cg23978242","cg15668468","CpG-CpG",15.653559774527,"DIP2C","VAX1"
"cg11464571","cg05556923","CpG-CpG",15.653559774527,"GNAI1","PDGFA"
"cg07026882","cg05058069","CpG-CpG",15.653559774527,"ATP11A","BANP"
"cg24587400","cg04155024","CpG-CpG",15.653559774527,"BIN1","PIGA"
"cg05058069","cg22549545","CpG-CpG",15.653559774527,"BANP","RPS6KA2"
"cg09929879","cg23978242","CpG-CpG",15.653559774527,"DIP2C","DIP2C"
"cg13711238","cg02067585","CpG-CpG",15.653559774527,"FAM110B","ATP11A"
"cg08370787","cg04155024","CpG-CpG",15.653559774527,"ADRB2","PIGA"
"cg07645529","cg05058069","CpG-CpG",15.653559774527,"TMTC4","BANP"
"cg10729426","cg06287775","CpG-CpG",15.653559774527,"ZNF549","FOXK1"
"cg05556923","cg25037165","CpG-CpG",15.653559774527,"PDGFA","TEAD1"
"cg10729426","cg10351284","CpG-CpG",15.653559774527,"ZNF549","MTSS1"
"cg23978242","cg13676902","CpG-CpG",15.653559774527,"DIP2C","ZMIZ1"
"cg23978242","cg08370787","CpG-CpG",15.653559774527,"DIP2C","ADRB2"
"cg13676902","cg15668468","CpG-CpG",15.653559774527,"ZMIZ1","VAX1"
"cg23978242","cg25282951","CpG-CpG",15.653559774527,"DIP2C","KIAA1026"
"cg00999904","cg10645314","CpG-CpG",15.653559774527,"ALLC","ALLC"
"cg21049501","cg12546981","CpG-CpG",15.653559774527,"SOX9","TAAR6"
"cg10729426","cg21078322","CpG-CpG",15.653559774527,"ZNF549","SGK1"
"cg02067585","cg05058069","CpG-CpG",15.653559774527,"ATP11A","BANP"
"cg02067585","cg08304084","CpG-CpG",15.653559774527,"ATP11A","SALL1"
"cg04426802","cg21049501","CpG-CpG",15.653559774527,"FAM53B","SOX9"
"cg05556923","cg22549545","CpG-CpG",15.653559774527,"PDGFA","RPS6KA2"
"cg23978242","cg10378325","CpG-CpG",15.653559774527,"DIP2C","CLCA2"
"cg10729426","cg20532937","CpG-CpG",15.653559774527,"ZNF549","FRMD4A"
"cg13711238","cg09101894","CpG-CpG",15.653559774527,"FAM110B","PIK3R1"
"cg05058069","cg08304084","CpG-CpG",15.653559774527,"BANP","SALL1"
"cg08304084","cg07891862","CpG-CpG",15.653559774527,"SALL1","PTK2"
"cg07645529","cg19389468","CpG-CpG",15.653559774527,"TMTC4","HMG20A"
"cg07645529","cg00999904","CpG-CpG",15.653559774527,"TMTC4","ALLC"
"cg02067585","cg22549545","CpG-CpG",15.653559774527,"ATP11A","RPS6KA2"
"cg00765686","cg19462022","CpG-CpG",15.653559774527,"NHS","RASA3"
"cg20059012","cg01931994","CpG-CpG",15.653559774527,"RARG","FAM5B"
"cg05058069","cg05556923","CpG-CpG",15.653559774527,"BANP","PDGFA"
"cg23978242","cg12620935","CpG-CpG",15.653559774527,"DIP2C","ARL15"
"cg04426802","cg06728055","CpG-CpG",15.653559774527,"FAM53B","WWTR1"
"cg17531430","cg23978242","CpG-CpG",15.653559774527,"BIN1","DIP2C"
"cg23978242","cg00637826","CpG-CpG",15.653559774527,"DIP2C","DUSP16"
"cg01931994","cg08370787","CpG-CpG",15.653559774527,"FAM5B","ADRB2"
"cg13711238","cg06111374","CpG-CpG",15.653559774527,"FAM110B","GRIN2B"
"cg09929879","cg06728055","CpG-CpG",15.653559774527,"DIP2C","WWTR1"
"cg12308391","cg21049501","CpG-CpG",15.653559774527,"NCAM1","SOX9"
"cg21049501","cg15773893","CpG-CpG",15.653559774527,"SOX9","DOCK10"
"cg09929879","cg04155024","CpG-CpG",15.653559774527,"DIP2C","PIGA"
"cg06728055","cg03070236","CpG-CpG",15.653559774527,"WWTR1","ADCY9"
"cg09929879","cg22549545","CpG-CpG",15.653559774527,"DIP2C","RPS6KA2"
"cg19462022","cg03070236","CpG-CpG",15.653559774527,"RASA3","ADCY9"
"cg10729426","cg10610648","CpG-CpG",15.653559774527,"ZNF549","FBXO18"
"cg10378325","cg15668468","CpG-CpG",15.653559774527,"CLCA2","VAX1"
"cg21049501","cg08370787","CpG-CpG",15.653559774527,"SOX9","ADRB2"
"cg13711238","cg20532937","CpG-CpG",15.653559774527,"FAM110B","FRMD4A"
"cg10729426","cg09224689","CpG-CpG",15.653559774527,"ZNF549","PAX6"
"cg07645529","cg18961064","CpG-CpG",15.653559774527,"TMTC4","CARKD"
"cg18812058","cg03070236","CpG-CpG",15.653559774527,"SAMD12","ADCY9"
"cg07026882","cg08304084","CpG-CpG",15.653559774527,"ATP11A","SALL1"
"cg12546981","cg04155024","CpG-CpG",15.653559774527,"TAAR6","PIGA"
"cg11946963","cg20059012","CpG-CpG",15.653559774527,"NCAM1","RARG"
"cg09929879","cg06063519","CpG-CpG",15.653559774527,"DIP2C","IGF1R"
"cg07026882","cg22549545","CpG-CpG",15.653559774527,"ATP11A","RPS6KA2"
"cg20532937","cg03070236","CpG-CpG",15.653559774527,"FRMD4A","ADCY9"
"cg04468081","cg11464571","CpG-CpG",15.653559774527,"MCF2L2","GNAI1"
"cg10729426","cg04209913","CpG-CpG",15.653559774527,"ZNF549","GDNF"
"cg27287823","cg20059012","CpG-CpG",15.653559774527,"CUGBP2","RARG"
"cg23978242","cg13036352","CpG-CpG",15.653559774527,"DIP2C","KIAA1949"
"cg10729426","cg10087036","CpG-CpG",15.653559774527,"ZNF549","ITPRIPL2"
"cg00305774","cg06063519","CpG-CpG",15.653559774527,"TMEM88B","IGF1R"
"cg10729426","cg02067585","CpG-CpG",15.653559774527,"ZNF549","ATP11A"
"cg13711238","cg04545636","CpG-CpG",15.653559774527,"FAM110B","CUGBP2"
"cg07645529","cg22549545","CpG-CpG",15.653559774527,"TMTC4","RPS6KA2"
"cg07026882","cg03070236","CpG-CpG",15.653559774527,"ATP11A","ADCY9"
"cg00765686","cg01931994","CpG-CpG",15.653559774527,"NHS","FAM5B"
"cg21049501","cg08543244","CpG-CpG",15.653559774527,"SOX9","C7orf31"
"cg21049501","cg14794936","CpG-CpG",15.653559774527,"SOX9","LDB3"
"cg00305774","cg10729426","CpG-CpG",15.653559774527,"TMEM88B","ZNF549"
"cg01931994","cg12546981","CpG-CpG",15.653559774527,"FAM5B","TAAR6"
"cg07645529","cg07026882","CpG-CpG",15.653559774527,"TMTC4","ATP11A"
"cg00305774","cg06728055","CpG-CpG",15.653559774527,"TMEM88B","WWTR1"
"cg00497472","cg23978242","CpG-CpG",15.653559774527,"GAK","DIP2C"
"cg10729426","cg26147269","CpG-CpG",15.653559774527,"ZNF549","HDAC11"
"cg10729426","cg06783058","CpG-CpG",15.653559774527,"ZNF549","PYCRL"
"cg11946963","cg25037165","CpG-CpG",15.653559774527,"NCAM1","TEAD1"
"cg00765686","cg17425584","CpG-CpG",15.653559774527,"NHS","CADM1"
"cg01931994","cg19961800","CpG-CpG",15.653559774527,"FAM5B","SYT16"
"cg20059012","cg25037165","CpG-CpG",15.653559774527,"RARG","TEAD1"
"cg07026882","cg24803059","CpG-CpG",15.653559774527,"ATP11A","HCCA2"
"cg04468081","cg06287775","CpG-CpG",15.653559774527,"MCF2L2","FOXK1"
"cg25017994","cg21049501","CpG-CpG",15.653559774527,"MOG","SOX9"
"cg13711238","cg10087036","CpG-CpG",15.653559774527,"FAM110B","ITPRIPL2"
"cg10749994","cg06063519","CpG-CpG",15.653559774527,"DNMT3A","IGF1R"
"cg10729426","cg05099464","CpG-CpG",15.653559774527,"ZNF549","ARHGEF12"
"cg10729426","cg23815312","CpG-CpG",15.653559774527,"ZNF549","ARHGAP22"
"cg01931994","cg16001422","CpG-CpG",15.653559774527,"FAM5B","PLEC1"
"cg00305774","cg22549545","CpG-CpG",15.653559774527,"TMEM88B","RPS6KA2"
"cg13711238","cg10610648","CpG-CpG",15.653559774527,"FAM110B","FBXO18"
"cg23866687","cg06728055","CpG-CpG",15.653559774527,"MAML2","WWTR1"
"cg00765686","cg23866687","CpG-CpG",15.653559774527,"NHS","MAML2"
"cg23978242","cg07660750","CpG-CpG",15.653559774527,"DIP2C","PAX6"
"cg13711238","cg11464571","CpG-CpG",15.653559774527,"FAM110B","GNAI1"
"cg00765686","cg00497472","CpG-CpG",15.653559774527,"NHS","GAK"
"cg00765686","cg22549545","CpG-CpG",15.653559774527,"NHS","RPS6KA2"
"cg19462022","cg15668468","CpG-CpG",15.653559774527,"RASA3","VAX1"
"cg13036352","cg04155024","CpG-CpG",15.653559774527,"KIAA1949","PIGA"
"cg23978242","cg18961064","CpG-CpG",15.653559774527,"DIP2C","CARKD"
"cg23978242","cg24803059","CpG-CpG",15.653559774527,"DIP2C","HCCA2"
"cg10729426","cg09231673","CpG-CpG",15.653559774527,"ZNF549","DEPDC7"
"cg07026882","cg25037165","CpG-CpG",15.653559774527,"ATP11A","TEAD1"
"cg00765686","cg13676902","CpG-CpG",15.653559774527,"NHS","ZMIZ1"
"cg09929879","cg10729426","CpG-CpG",15.653559774527,"DIP2C","ZNF549"
"cg07645529","cg19690879","CpG-CpG",15.653559774527,"TMTC4","TM2D3"
"cg13711238","cg18961064","CpG-CpG",15.653559774527,"FAM110B","CARKD"
"cg13711238","cg04020590","CpG-CpG",15.653559774527,"FAM110B","GRTP1"
"cg07645529","cg05556923","CpG-CpG",15.653559774527,"TMTC4","PDGFA"
"cg07645529","cg02067585","CpG-CpG",15.653559774527,"TMTC4","ATP11A"
"cg13711238","cg18693822","CpG-CpG",15.653559774527,"FAM110B","VOPP1"
"cg07645529","cg23978242","CpG-CpG",15.653559774527,"TMTC4","DIP2C"
"cg00765686","cg13036352","CpG-CpG",15.653559774527,"NHS","KIAA1949"
"cg10729426","cg26116551","CpG-CpG",15.653559774527,"ZNF549","ZNF536"
"cg04468081","cg12546981","CpG-CpG",15.653559774527,"MCF2L2","TAAR6"
"cg20981848","cg19462022","CpG-CpG",15.653559774527,"BTBD3","RASA3"
"cg13711238","cg13921308","CpG-CpG",15.653559774527,"FAM110B","PROX1"
"cg10729426","cg09549949","CpG-CpG",15.653559774527,"ZNF549","HDAC4"
"cg00999904","cg18961064","CpG-CpG",15.653559774527,"ALLC","CARKD"
"cg05183646","cg01931994","CpG-CpG",15.653559774527,"SGK1","FAM5B"
"cg05058069","cg23978242","CpG-CpG",15.653559774527,"BANP","DIP2C"
"cg10645314","cg13676902","CpG-CpG",15.653559774527,"ALLC","ZMIZ1"
"cg21049501","cg17531430","CpG-CpG",15.653559774527,"SOX9","BIN1"
"cg10729426","cg04155024","CpG-CpG",15.653559774527,"ZNF549","PIGA"
"cg24587400","cg04426802","CpG-CpG",15.653559774527,"BIN1","FAM53B"
"cg10729426","cg13676902","CpG-CpG",15.653559774527,"ZNF549","ZMIZ1"
"cg06063519","cg21114429","CpG-CpG",15.653559774527,"IGF1R","C14orf138"
"cg09929879","cg07660750","CpG-CpG",15.653559774527,"DIP2C","PAX6"
"cg00497472","cg05058069","CpG-CpG",15.653559774527,"GAK","BANP"
"cg24004665","cg04155024","CpG-CpG",15.653559774527,"SGMS1","PIGA"
"cg10749994","cg20532937","CpG-CpG",15.653559774527,"DNMT3A","FRMD4A"
"cg07645529","cg03070236","CpG-CpG",15.653559774527,"TMTC4","ADCY9"
"cg20059012","cg12546981","CpG-CpG",15.653559774527,"RARG","TAAR6"
"cg13036352","cg15668468","CpG-CpG",15.653559774527,"KIAA1949","VAX1"
"cg20059012","cg27107893","CpG-CpG",15.653559774527,"RARG","NR3C1"
"cg21049501","cg18180230","CpG-CpG",15.653559774527,"SOX9","SFRS2B"
"cg10729426","cg03621841","CpG-CpG",15.653559774527,"ZNF549","ZNF423"
"cg04426802","cg24803059","CpG-CpG",15.653559774527,"FAM53B","HCCA2"
"cg10749994","cg04155024","CpG-CpG",15.653559774527,"DNMT3A","PIGA"
"cg10729426","cg15224291","CpG-CpG",15.653559774527,"ZNF549","MBP"
"cg23978242","cg21330896","CpG-CpG",15.653559774527,"DIP2C","ZNF395"
"cg18961064","cg25037165","CpG-CpG",15.653559774527,"CARKD","TEAD1"
"cg07660750","cg04155024","CpG-CpG",15.653559774527,"PAX6","PIGA"
"cg23978242","cg03472898","CpG-CpG",15.653559774527,"DIP2C","C14orf23"
"cg04155024","cg15668468","CpG-CpG",15.653559774527,"PIGA","VAX1"
"cg14105458","cg27107893","CpG-CpG",15.653559774527,"ABCA2","NR3C1"
"cg27287823","cg01931994","CpG-CpG",15.653559774527,"CUGBP2","FAM5B"
"cg10729426","cg27512176","CpG-CpG",15.653559774527,"ZNF549","COL11A2"
"cg13711238","cg04102296","CpG-CpG",15.653559774527,"FAM110B","NCAM1"
"cg27107893","cg08304084","CpG-CpG",15.653559774527,"NR3C1","SALL1"
"cg00765686","cg07660750","CpG-CpG",15.653559774527,"NHS","PAX6"
"cg10729426","cg08170837","CpG-CpG",15.653559774527,"ZNF549","RYBP"
"cg07645529","cg25916714","CpG-CpG",15.653559774527,"TMTC4","MBP"
"cg10729426","cg07891862","CpG-CpG",15.653559774527,"ZNF549","PTK2"
"cg21049501","cg23978242","CpG-CpG",15.653559774527,"SOX9","DIP2C"
"cg22549545","cg19027424","CpG-CpG",15.653559774527,"RPS6KA2","SH3PXD2B"
"cg07645529","cg21049501","CpG-CpG",15.653559774527,"TMTC4","SOX9"
"cg01931994","cg24631609","CpG-CpG",15.352529778863,"FAM5B","NCOR2"
"cg13711238","cg06063519","CpG-CpG",15.352529778863,"FAM110B","IGF1R"
"cg10729426","cg08571020","CpG-CpG",15.352529778863,"ZNF549","C10orf62"
"cg00305774","cg18961064","CpG-CpG",15.352529778863,"TMEM88B","CARKD"
"cg13711238","cg08304084","CpG-CpG",15.352529778863,"FAM110B","SALL1"
"cg11464571","cg03621841","CpG-CpG",15.352529778863,"GNAI1","ZNF423"
"cg14009912","cg20059012","CpG-CpG",15.352529778863,"SHC3","RARG"
"cg13711238","cg08614334","CpG-CpG",15.1764385198074,"FAM110B","ACCN4"
"cg04468081","cg16819392","CpG-CpG",15.0514997831991,"MCF2L2","ARMC3"
"cg11946963","cg05556923","CpG-CpG",15.0514997831991,"NCAM1","PDGFA"
"cg04426802","cg06063519","CpG-CpG",15.0514997831991,"FAM53B","IGF1R"
"cg11724557","cg23978242","CpG-CpG",15.0514997831991,"C14orf80","DIP2C"
"cg21049501","cg04155024","CpG-CpG",15.0514997831991,"SOX9","PIGA"
"cg24873410","cg22549545","CpG-CpG",15.0514997831991,"RPS6KA2","RPS6KA2"
"cg11464571","cg13221107","CpG-CpG",14.954589770191,"GNAI1","KRT6B"
"cg08304084","cg00246969","CpG-CpG",14.954589770191,"SALL1","STK24"
"cg13711238","cg22950111","CpG-CpG",14.8754085241434,"FAM110B","SDCCAG8"
"cg21002223","cg04155024","CpG-CpG",14.8754085241434,"MFHAS1","PIGA"
"cg02203420","cg23978242","CpG-CpG",14.8754085241434,"SLC24A2","DIP2C"
"cg07645529","cg24993990","CpG-CpG",14.653559774527,"TMTC4","CSRNP3"
"cg00701918","cg23978242","CpG-CpG",14.653559774527,"RPTOR","DIP2C"
"cg01931994","cg08304084","CpG-CpG",14.5743785284794,"FAM5B","SALL1"
"cg10729426","cg05556923","CpG-CpG",14.5743785284794,"ZNF549","PDGFA"
"cg07026882","cg06728055","CpG-CpG",14.5074317388488,"ATP11A","WWTR1"
"cg21049501","cg14009912","CpG-CpG",14.5074317388488,"SOX9","SHC3"
"cg21114429","cg03070236","CpG-CpG",14.5074317388488,"C14orf138","ADCY9"
"cg26681770","cg23978242","CpG-CpG",14.5074317388488,"PMEPA1","DIP2C"
"cg14294859","cg23978242","CpG-CpG",14.4774685154713,"SLC25A25","DIP2C"
"cg05556923","cg24803059","CpG-CpG",14.4494397918711,"PDGFA","HCCA2"
"cg08614334","cg03070236","CpG-CpG",14.4494397918711,"ACCN4","ADCY9"
