"","beta","pval","padj"
"cg13711238",0.293805962222222,0.00666792610473763,0.0192973075590592
"cg04500577",0.341751833111111,0.000401401383461901,0.0173520587431895
"cg24587400",0.244728566666667,0.0173413997583958,0.0403757852349147
"cg11672338",0.261206477777778,0.00772623317997571,0.0209455308987519
"cg12308391",0.254269844444445,0.00907740404955716,0.0233439446695296
"cg23592392",0.263999511111111,0.00498101382900059,0.0174100448409668
"cg00305774",0.277622158777778,0.00257510146626115,0.0173520587431895
"cg07645529",0.263902442222222,0.00417391906546925,0.0173520587431895
"cg10623600",-0.228949772222222,0.0154868148762236,0.0364266436278272
"cg05183646",0.242405262222222,0.0093466191899719,0.0238114823146155
"cg09929879",0.266820484888889,0.00308168813381036,0.0173520587431895
"cg27198899",0.264997477777778,0.0030773818776525,0.0173520587431895
"cg04938549",-0.263916466666667,0.00270606892567641,0.0173520587431895
"cg01463768",-0.256075793333333,0.00390845736619899,0.0173520587431895
"cg11946963",0.252641477777778,0.00426824172049749,0.0173520587431895
"cg04426802",0.218162544444445,0.0168450628717518,0.03929794207804
"cg07637515",0.260633655555556,0.00262860106961753,0.0173520587431895
"cg00701918",0.262062833333333,0.00230559250751974,0.0173520587431895
"cg04102296",0.238110533333333,0.007080851124453,0.0199225011805149
"cg03511437",-0.256823455555555,0.00292581910445605,0.0173520587431895
"cg06601071",-0.268679188888889,0.00147759689569838,0.0173520587431895
"cg03470433",0.2545803,0.00311823969320727,0.0173520587431895
"cg11082691",-0.239718733333333,0.0060169509907557,0.0184286400941982
"cg02969422",0.257035922222222,0.00249251637019155,0.0173520587431895
"cg18644052",-0.206692055555556,0.0214142786130163,0.0489861114331837
"cg24394819",0.245484055555556,0.00426866397782218,0.0173520587431895
"cg19309928",0.249592266666667,0.0034251588849674,0.0173520587431895
"cg04431061",0.2530886,0.00282826466839971,0.0173520587431895
"cg11347328",0.280177022222222,0.000543650743090745,0.0173520587431895
"cg04832291",0.242528222222222,0.00465884320734683,0.0173520587431895
"cg25017994",0.264803344444444,0.00135538133997852,0.0173520587431895
"cg06680429",-0.238655677777778,0.00520953037688225,0.0175661754771823
"cg14940290",0.240083255555556,0.00486061532269345,0.0173636559934426
"cg02357623",0.224608344444444,0.00961395684749018,0.0243052884527624
"cg10729426",-0.216610488888889,0.0132086130630997,0.0316146794234077
"cg12511848",-0.226566183333334,0.00866953930610723,0.0225504989104103
"cg07339464",0.258600477777778,0.0017390375591239,0.0173520587431895
"cg14853432",0.244752088888889,0.00357829448255793,0.0173520587431895
"cg21049501",-0.237266088888889,0.00510217250880186,0.0174864130609013
"cg24057263",0.250882633333333,0.00252448986055689,0.0173520587431895
"cg13691567",0.249611033333333,0.00262108039379349,0.0173520587431895
"cg16286874",-0.248775344444444,0.00273190281074011,0.0173520587431895
"cg27302645",0.222723811111111,0.00900486004224924,0.0232173779611944
"cg12821663",0.2406355,0.00377633166480215,0.0173520587431895
"cg20876525",-0.226422588888889,0.00727204595832776,0.0202340404684269
"cg17384082",0.231175311111111,0.00583972242732247,0.0182348865802419
"cg08675225",0.233901333333333,0.00511280223442192,0.0174892624585644
"cg06726406",0.255554066666667,0.00159394118986175,0.0173520587431895
"cg11724557",0.240775155555556,0.0035416235760982,0.0173520587431895
"cg10253780",0.240228155555555,0.00357122291908472,0.0173520587431895
"cg04838832",-0.229454677777778,0.00602288140876185,0.0184326898508396
"cg21956898",0.241009988888889,0.0032049551301899,0.0173520587431895
"cg13011311",0.2229702,0.00768934062524212,0.0208892709188865
"cg02362017",0.267317944444444,0.000623370187635298,0.0173520587431895
"cg22163330",0.257578322222222,0.001159966488605,0.0173520587431895
"cg21078322",0.232316177777778,0.00473576256430119,0.0173520587431895
"cg04468081",-0.238181733333333,0.00349632626357822,0.0173520587431895
"cg22193385",-0.245957411111111,0.00223629443955558,0.0173520587431895
"cg13552681",0.252231988888889,0.00153102716583792,0.0173520587431895
"cg09528666",0.237097122222222,0.0035877104404709,0.0173520587431895
"cg00644330",-0.232498611111111,0.00450895066587423,0.0173520587431895
"cg01124048",0.237088755555556,0.00346410416653857,0.0173520587431895
"cg03102767",-0.227196877777778,0.0056916554574105,0.0180335551397318
"cg27383562",0.227502055555555,0.0055795468009309,0.0178802887140282
"cg24102700",0.221198866666667,0.00745709595117907,0.0205062448815594
"cg14971439",0.230303433333333,0.00481383668733504,0.0173520587431895
"cg16819392",0.241334788888889,0.00269250336366615,0.0173520587431895
"cg09217215",-0.219303133333333,0.00807996657149939,0.0215551996038399
"cg14009912",0.241470988888889,0.00263363610152747,0.0173520587431895
"cg04849985",-0.240147911111111,0.00277653041953386,0.0173520587431895
"cg17125583",0.250536311111111,0.001515746377434,0.0173520587431895
"cg01799761",-0.236151822222222,0.00333120721459551,0.0173520587431895
"cg00122739",0.231208650888889,0.00430590676712531,0.0173520587431895
"cg05441862",0.241471588888889,0.0024776443717238,0.0173520587431895
"cg03024979",0.238522122222222,0.00291203921182742,0.0173520587431895
"cg01784548",0.243641833333333,0.00216511818033615,0.0173520587431895
"cg07811246",0.233263888888889,0.00378773653666513,0.0173520587431895
"cg18712199",-0.229356488888889,0.00462487091482401,0.0173520587431895
"cg06457473",0.230404488888889,0.00437565708892943,0.0173520587431895
"cg14556646",0.237844077777778,0.00293979871322781,0.0173520587431895
"cg13008629",-0.233134088888889,0.00378030195412889,0.0173520587431895
"cg11458533",0.223198,0.00617873167420838,0.0186725043040447
"cg22093563",-0.249581955555556,0.00145336045486314,0.0173520587431895
"cg07830160",-0.225899007555555,0.00534333318964287,0.017676001778573
"cg09231673",0.2060895,0.0130653195348577,0.0313091769347177
"cg05478517",0.216337855555555,0.00834980813404439,0.0219934364126021
"cg06080121",0.2233027,0.00599031176022125,0.018394938615757
"cg03437140",0.221068777777778,0.0066008043351425,0.0192341982484921
"cg11963452",-0.228885022222222,0.00448386602329141,0.0173520587431895
"cg22291940",0.210447633333333,0.0106639886432861,0.0263300517178365
"cg17797848",0.236824344444444,0.00292500797274934,0.0173520587431895
"cg09309214",0.227205666666667,0.00481805292285472,0.0173520587431895
"cg20486607",0.228349788888889,0.00453718505875459,0.0173520587431895
"cg27287823",-0.236677388888889,0.0029058286105674,0.0173520587431895
"cg13802844",0.250481711111111,0.00127587625017809,0.0173520587431895
"cg18951982",0.238218222222222,0.00260521227595763,0.0173520587431895
"cg10749924",0.194948911111111,0.0195255409193155,0.0449276137121847
"cg10749994",-0.221232388888889,0.00630223148753147,0.0188182486937339
"cg10454793",0.233376033333333,0.00338634331849018,0.0173520587431895
"cg10581898",-0.2465082,0.00155166643909187,0.0173520587431895
"cg08903077",0.234974377777778,0.003042041447459,0.0173520587431895
"cg03720072",0.235352144444444,0.00295581180534812,0.0173520587431895
"cg20820874",0.228063277777778,0.00436480937210825,0.0173520587431895
"cg23914384",0.242118466666667,0.00197128555364346,0.0173520587431895
"cg14087715",0.235212855555556,0.00289286788198216,0.0173520587431895
"cg16313485",0.250169844444444,0.00117268034552038,0.0173520587431895
"cg24812349",-0.233283555555556,0.00320645665528793,0.0173520587431895
"cg11433203",0.242635944444444,0.00186729943704111,0.0173520587431895
"cg10487211",0.2343103,0.00300783728915129,0.0173520587431895
"cg17414560",0.239693944444444,0.0022087299325303,0.0173520587431895
"cg16148959",0.240091922222222,0.00215723269846874,0.0173520587431895
"cg02011981",0.218082622222222,0.00686855517860574,0.0195763486041821
"cg11629337",0.226370666666667,0.00454582934206696,0.0173520587431895
"cg23201812",-0.232761977777778,0.00321140277478079,0.0173520587431895
"cg05931898",0.230181577777778,0.00369065439978415,0.0173520587431895
"cg06676778",-0.225386555555556,0.00472647584587903,0.0173520587431895
"cg02062355",-0.231890422222222,0.00334399287603309,0.0173520587431895
"cg18158855",0.210793666666667,0.00949042278047248,0.0240843110784735
"cg25732907",0.230351533333333,0.00361771896261589,0.0173520587431895
"cg22923154",0.231701266666667,0.00332294648354086,0.0173520587431895
"cg14105458",0.227097911111111,0.00423988458975484,0.0173520587431895
"cg23876676",0.231932766666667,0.00324213604982581,0.0173520587431895
"cg14294859",-0.238785788888889,0.00219088510296875,0.0173520587431895
"cg20862860",0.238169633333333,0.00226583469101276,0.0173520587431895
"cg10119989",-0.223467488888889,0.00504010104808819,0.0174658277933732
"cg10475729",0.248356866666666,0.00116344279720781,0.0173520587431895
"cg17339923",0.206607222222222,0.0109055761063947,0.026827512196806
"cg26344024",0.230937477777778,0.00325278586823139,0.0173520587431895
"cg16090991",-0.2414074,0.00176621287492033,0.0173520587431895
"cg17369510",0.2444045,0.00146337419773252,0.0173520587431895
