"Source","Target","Type","Weight"
"cg10539122","84332","CpG-Gene",4.80098475545366
"cg20785674","84332","CpG-Gene",5.11806334830138
"cg25610281","84332","CpG-Gene",4.10083097770938
"cg09396490","84332","CpG-Gene",4.58445053932416
"cg03826704","84332","CpG-Gene",5.58125054425076
"cg25883013","84332","CpG-Gene",3.01115712590663
"cg02473847","84332","CpG-Gene",4.42038790012205
"cg18361915","84332","CpG-Gene",4.58751059625528
"cg10277551","84332","CpG-Gene",5.21381390548246
"cg02628016","84332","CpG-Gene",4.50173038561316
"cg03819192","84332","CpG-Gene",5.07379111505165
"cg11523221","84332","CpG-Gene",5.08865518835522
"cg21951877","84332","CpG-Gene",4.74431536221145
"cg00452133","84332","CpG-Gene",4.68900371410785
"cg05180627","84332","CpG-Gene",5.46939599063146
"cg15844989","84332","CpG-Gene",4.47462865204135
"cg22892043","84332","CpG-Gene",4.77511749816468
"cg20005074","84332","CpG-Gene",6.17437154365318
"cg12472351","84332","CpG-Gene",4.73062265148813
"cg17158651","84332","CpG-Gene",4.16934950358934
"cg12873454","84332","CpG-Gene",4.64786511891
"cg20820874","84332","CpG-Gene",4.55785736915006
"cg07552130","84332","CpG-Gene",5.24361030596584
"cg10056280","84332","CpG-Gene",5.06870997296458
"cg13096626","84332","CpG-Gene",5.0436824946106
"cg22846423","84332","CpG-Gene",4.72493037654065
"cg27178952","84332","CpG-Gene",6.01877895468779
"cg24409205","84332","CpG-Gene",4.51480530511628
"cg26734669","84332","CpG-Gene",4.31116593845399
"cg04426802","84332","CpG-Gene",6.10672098129346
"cg13169132","84332","CpG-Gene",3.59043716622825
"cg17101530","84332","CpG-Gene",5.61019908185156
"cg07989312","84332","CpG-Gene",5.56901662038285
"cg02238834","84332","CpG-Gene",5.00670933789201
"cg26389285","84332","CpG-Gene",3.15151889552493
"cg03620587","84332","CpG-Gene",5.02635017133621
"cg06735913","84332","CpG-Gene",3.69643457379244
"cg04085767","84332","CpG-Gene",4.72512932214756
"cg10581898","84332","CpG-Gene",5.72536016312292
"cg17936229","84332","CpG-Gene",4.40100639068198
"cg00218469","84332","CpG-Gene",3.76864045049054
"cg17797848","84332","CpG-Gene",4.88989678871361
"cg07004957","84332","CpG-Gene",4.34535367670754
"cg08341278","84332","CpG-Gene",5.58461994316442
"cg13917614","84332","CpG-Gene",4.40066881236552
"cg15253741","84332","CpG-Gene",4.11397089334603
"cg02444715","84332","CpG-Gene",5.1305777139325
"cg23551841","84332","CpG-Gene",4.22872309621553
"cg23172565","84332","CpG-Gene",5.26922453065559
"cg11139109","84332","CpG-Gene",4.22839576520627
"cg22027151","84332","CpG-Gene",5.3422886754116
"cg04794159","84332","CpG-Gene",4.22536730677319
"cg22658419","84332","CpG-Gene",4.98643113709062
"cg01046865","84332","CpG-Gene",4.93712727779308
"cg26244646","84332","CpG-Gene",5.6225092471216
"cg23293746","84332","CpG-Gene",3.15823704499276
"cg17651173","84332","CpG-Gene",3.04829418960895
"cg21321661","84332","CpG-Gene",3.32786363225955
"cg04256248","84332","CpG-Gene",4.88894761436661
"cg05332914","84332","CpG-Gene",5.01219354088665
"cg22251524","84332","CpG-Gene",5.21509632744142
"cg24641646","84332","CpG-Gene",4.50862802745701
"cg03031009","84332","CpG-Gene",4.21497647111061
"cg21606707","84332","CpG-Gene",5.41252359828724
"cg16978150","84332","CpG-Gene",5.31824742062552
"cg16230121","84332","CpG-Gene",4.4655892487705
"cg22779651","84332","CpG-Gene",4.81373529212997
"cg18109011","84332","CpG-Gene",5.17511648020979
"cg02442222","84332","CpG-Gene",4.56559899654663
"cg22763040","84332","CpG-Gene",4.05303371336425
"cg21617644","84332","CpG-Gene",4.4711767220408
"cg15217684","84332","CpG-Gene",4.44843925776848
"cg16412148","84332","CpG-Gene",5.22697068572144
"cg07563611","84332","CpG-Gene",4.73552263856764
"cg22908413","84332","CpG-Gene",3.8039299101278
"cg12505757","84332","CpG-Gene",1.64255915126188
"cg10176722","84332","CpG-Gene",4.45689603448313
"cg18278736","84332","CpG-Gene",4.60918185521748
"cg22449099","84332","CpG-Gene",3.56272474610093
"cg08017851","84332","CpG-Gene",5.15464818414229
"cg05241973","84332","CpG-Gene",5.2134526529723
"cg03301165","84332","CpG-Gene",5.92596375269013
"cg14114546","84332","CpG-Gene",4.38408821113174
"cg23173687","84332","CpG-Gene",4.31437778490338
"cg02520399","84332","CpG-Gene",5.64448185098895
"cg25466169","84332","CpG-Gene",4.99734840210002
"cg02976109","84332","CpG-Gene",4.49316419050222
"cg22777490","84332","CpG-Gene",5.48543472470888
"cg25037165","84332","CpG-Gene",3.39826243247452
"cg20084795","84332","CpG-Gene",5.32259378888503
"cg11333925","84332","CpG-Gene",4.04955789935702
"cg22550869","84332","CpG-Gene",2.31513486031547
"cg01761970","84332","CpG-Gene",4.77446298301432
"cg26268085","84332","CpG-Gene",4.47389886508795
"cg13487666","84332","CpG-Gene",4.21292273202222
"cg18745725","84332","CpG-Gene",4.75633625125354
"cg07873247","84332","CpG-Gene",4.7650453313683
"cg23317287","84332","CpG-Gene",4.70917306661428
"cg04013758","84332","CpG-Gene",4.97757820348694
"cg10668814","84332","CpG-Gene",3.16797659618669
"cg10539122","401022","CpG-Gene",2.58953444868112
"cg20785674","401022","CpG-Gene",2.59345246824633
"cg25610281","401022","CpG-Gene",3.06193165061997
"cg09396490","401022","CpG-Gene",1.95585304364705
"cg03826704","401022","CpG-Gene",2.13890150256172
"cg25883013","401022","CpG-Gene",2.11302733977731
"cg02473847","401022","CpG-Gene",2.36186733426672
"cg18361915","401022","CpG-Gene",2.26562160492264
"cg10277551","401022","CpG-Gene",2.20615656271265
"cg02628016","401022","CpG-Gene",2.52839799900545
"cg03819192","401022","CpG-Gene",2.77971148852611
"cg11523221","401022","CpG-Gene",2.70649484944208
"cg21951877","401022","CpG-Gene",2.34391070253072
"cg00452133","401022","CpG-Gene",2.20235252482672
"cg05180627","401022","CpG-Gene",2.30134688886701
"cg15844989","401022","CpG-Gene",2.87124490630691
"cg22892043","401022","CpG-Gene",2.37793938362745
"cg20005074","401022","CpG-Gene",2.92109770833193
"cg12472351","401022","CpG-Gene",2.26939072350848
"cg17158651","401022","CpG-Gene",1.75965339225288
"cg12873454","401022","CpG-Gene",2.30847581708361
"cg20820874","401022","CpG-Gene",2.6406455456625
"cg07552130","401022","CpG-Gene",2.39104442474724
"cg10056280","401022","CpG-Gene",2.34422751924665
"cg13096626","401022","CpG-Gene",2.67933975559208
"cg22846423","401022","CpG-Gene",2.52836623873441
"cg27178952","401022","CpG-Gene",2.57545448806296
"cg24409205","401022","CpG-Gene",2.04345926834338
"cg26734669","401022","CpG-Gene",1.46475697498348
"cg04426802","401022","CpG-Gene",1.72634730506292
"cg13169132","401022","CpG-Gene",1.74947948122553
"cg17101530","401022","CpG-Gene",2.85195771564739
"cg07989312","401022","CpG-Gene",2.95378607859851
"cg02238834","401022","CpG-Gene",2.30901683397897
"cg26389285","401022","CpG-Gene",1.42584366504817
"cg03620587","401022","CpG-Gene",2.28886745030485
