,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,6A,6B,7A,7B,9A,9B,10A,10B
cg05162750,1,1,0.02772813,0.01944638,0.01582868,0.02604049,1,1,1,1,1,1,0.01602608,0.01943933,1,1,1,1
cg12710220,0.9705708,0.9672174,0.9360836,0.9514922,0.9632004,0.9765244,0.004651163,0.002087683,0.9780365,0.00591716,0.002398082,0.9431026,0.9601462,0.9453973,0.003533569,0.004608295,0.9627359,0.9273016
cg10236452,1,1,0.04189796,0.0316856,0.05430554,0.04461673,0.06085726,0.02927007,0.05040439,1,0.03666309,0.02538071,1,1,1,0.02437894,0.1329485,0.08428959
cg04605287,0.0827503,0.08322296,0.1815495,0.09803922,0.05957963,1,1,1,1,1,1,0.05045045,0.1178379,0.05117239,1,0.08674979,0.1768991,0.1188566
cg26302094,1,0.04185825,0.02940022,0.03833049,0.03507625,1,0.03102575,0.03815015,0.0329833,1,0.04094115,0.04427699,0.01908797,1,1,0.03910089,0.04091245,0.03912004
cg21807034,0.9709153,0.005263158,0.003246753,0.9832581,0.003610108,0.9486152,0.967509,0.9610136,0.951787,0.9311612,0.004273504,0.9647807,0.9835017,0.968578,0.976643,0.9840301,0.9741033,0.003676471
cg11254700,0.1007004,0.1225336,0.1015557,0.1208125,0.07722093,0.1324518,1,0.11638,0.105908,1,0.06955341,0.05034151,0.04340184,0.05120442,1,1,1,1
cg01684881,1,1,0.05626962,0.05528914,0.04471829,0.05246617,0.08229591,0.04681346,0.06937433,1,0.07426214,0.05892355,1,1,0.0487496,0.03828921,0.05487805,0.05658134
cg23530594,0.8902259,0.9331143,0.872849,0.8914017,0.9013219,0.9085505,0.000504796,0.8873752,0.8635431,0.000573724,0.8921388,0.920487,0.000450653,0.8739726,0.00095511,0.9152709,0.000461042,0.000505817
rs3936238,0.05016605,0.05945767,0.04088559,0.05151975,0.9492415,0.9448689,0.9643908,0.9504887,0.03496933,0.03436576,0.9497766,0.9645466,0.03712353,0.04809757,0.4281435,0.4682163,0.04257988,0.04992625
cg21004358,0.00078125,0.9623196,0.8184021,0.000263089,0.926355,0.000629723,0.000926784,0.9726705,0.7575712,0.709527,0.000217581,0.000281373,0.001919386,0.000883392,0.000576037,0.00068918,0.00030931,0.000328299
cg15290312,0.9783743,0.942053,0.0595058,0.03914232,0.9545744,0.944449,0.9838984,0.9405587,0.9690079,0.9037358,0.1140072,0.04276428,0.5759958,0.481756,0.96875,0.9531427,0.0858871,0.04641952
rs798149,0.9690044,0.9656726,0.9662314,0.9672542,0.0281937,0.03166516,0.0291533,0.03050079,0.03314699,0.0257832,0.4530223,0.4608932,0.4579474,0.4512148,0.95729,0.9565418,0.02548087,0.03666361
cg14084042,0.02007094,0.0215906,0.01694422,0.01200496,0.0410016,0.02647624,0.02240838,0.0411726,0.01883036,1,0.02656802,0.02501756,0.04956184,0.02677352,1,1,1,0.01949012
rs845016,0.92702,0.9146782,0.05364493,0.04619991,0.04810901,0.05251989,0.06181917,0.05270121,0.9286117,0.9098874,0.9624178,0.948968,0.0610883,0.003579098,0.4382594,0.4095309,0.08266993,0.05560121
cg06295987,0.8964543,0.9395654,0.7971245,0.000380373,0.8964947,0.8890841,0.001132503,0.9395065,0.000657462,0.9268934,0.001157407,0.9065848,0.9297643,0.9393691,0.8424696,0.0015625,0.8469197,0.8545376
cg16818568,0.938854,0.9357248,0.07520543,0.07802238,0.4714414,0.4841578,0.06986478,0.06594534,0.920911,0.9534884,0.08213652,0.07373011,0.05743033,0.06458215,0.04636639,0.06818984,0.9567985,0.942942
cg19248407,0.1024804,0.02259215,0.03452528,0.08998989,0.9033402,0.8987403,0.1005025,0.1448109,0.08145363,0.03210117,0.9032351,0.911169,0.8371679,0.8502946,0.8723937,0.8555902,0.06352459,0.1261128
cg11153505,0.9633158,0.9594925,0.9628989,0.9430624,0.9737357,0.9651943,0.9419788,0.9623312,0.949701,0.9429444,0.9443763,0.9674296,0.002840909,0.003558719,0.004672897,0.003861004,0.9709585,0.9570456
cg05452174,0.9006631,0.9261491,0.05288859,0.04899408,0.4950045,0.5191127,0.8878377,0.91169,0.9301521,0.909375,0.9333395,0.9231972,0.04372173,0.04197164,0.8934407,0.9155434,0.05195644,0.05224749
cg12397118,0.03827751,0.03553875,0.9297418,0.9201107,0.9362705,0.91738,0.03975425,0.03427631,0.5406509,0.5487565,0.9311285,0.9413618,0.04663822,0.05917295,0.5331581,0.523369,0.02670363,0.04408786
cg06559318,0.9272425,0.9393437,0.171371,0.005988024,0.1104869,0.04490501,0.1666667,0.002557545,0.3259804,0.1732673,0.9270658,0.9712775,0.8971316,0.8232899,0.8463892,0.8736483,0.8659509,0.8817451
cg25285484,0.008748012,0.0083317,0.9091251,0.8846478,0.0343879,0.09619687,0.1136767,0.245614,0.9228153,0.9295149,0.2526502,0.05191874,0.001071081,0.02534074,0.9125895,0.8867077,0.2272727,0.09982788
cg15395171,0.4994939,0.5833519,0.04927795,0.06283209,0.9190313,0.895272,0.06060606,0.06446645,0.1044844,0.04513702,0.8665049,0.9346396,0.8943145,0.9210457,0.04358354,0.06897241,0.06167024,0.08958084
cg07365741,0.8098826,0.8589406,0.06438006,0.06329732,0.8651522,0.9053498,0.06765351,0.06512358,0.5285318,0.5099619,0.8825533,0.9041308,0.05048724,0.04839471,0.04423918,0.05043139,0.8589886,0.8645646
cg16123583,0.06336229,0.06473063,0.05214074,0.05331438,0.1014405,0.07863425,0.08527132,0.07214182,1,0.08275749,0.07772113,0.08318834,0.1293743,0.08784928,1,1,1,0.08273168
cg22564046,0.9463379,0.9278766,0.6543027,0.6411019,0.0781082,0.115942,0.0780943,0.03286478,0.06192531,0.02461304,0.9530281,0.9375133,0.9437009,0.8966813,0.9436559,0.956125,0.6217417,0.6231802
cg09233619,0.08060258,0.09526235,0.8877703,0.8908095,0.8932021,0.8978933,0.09496718,0.0726438,0.09629237,0.07676876,0.8910328,0.8878044,0.5898934,0.5925126,0.08034188,0.0807342,0.9053943,0.8623665
cg16112880,0.9842193,0.9859697,0.5784966,0.5853543,0.03506858,0.04156276,0.04715034,0.02749091,0.9859485,0.9824403,0.5789225,0.6059472,0.570189,0.5896765,0.03425127,0.03976802,0.04257964,0.03558719
rs5926356,0.9495614,0.9358611,0.4685243,0.4775878,0.03785901,0.04964189,0.03043554,0.03697254,0.9702869,0.9705882,0.05460589,0.03411198,0.03675889,0.06213245,0.02388708,0.0334642,0.03822394,0.04991911
cg17040924,0.03573915,0.04328601,0.9175469,0.8983786,0.9074256,0.8965517,0.03290323,0.03459747,0.907617,0.9102705,0.05226093,0.04681054,0.5066667,0.561524,0.4953185,0.5253165,0.9177591,0.9184686
cg06031234,0.8757253,0.9403644,0.05074541,0.0377129,0.1032078,0.07783019,0.06011236,0.0374502,0.5892482,0.5609358,0.8868656,0.8651464,0.8987517,0.8234421,0.05347594,0.05957447,0.05650596,0.1155645
