"","logFC","pval","padj"
"cg05162750",-0.000593701111111122,0.997979484317928,0.0173520587431895
"cg12710220",0.00641195288888885,0.977587481299731,0.0173520587431895
"cg10236452",0.0152727888888889,0.946457221441132,0.0173520587431895
"cg04605287",0.125569446666667,0.571945854594929,0.0173520587431895
"cg26302094",-0.112378857777778,0.606743525565986,0.0173520587431895
"cg21807034",-0.101642984888889,0.64148411880458,0.0173520587431895
"cg11254700",-0.0105981722222223,0.961220699935691,0.0173520587431895
"cg01684881",-0.0975349922222222,0.648378704094816,0.0173520587431895
"cg23530594",-0.212089048888889,0.314900860880492,0.0173520587431895
"rs3936238",-0.00824563555555552,0.968827426045102,0.0173520587431895
"cg21004358",-0.0156148342222223,0.939974090914353,0.0173520587431895
"cg15290312",0.043997731111111,0.831655906544418,0.0173520587431895
"rs798149",-0.000746555555555528,0.997122585604189,0.0173520587431895
"cg14084042",0.00253997333333333,0.990145260568083,0.0173520587431895
"rs845016",0.0188860468888889,0.926351997430492,0.0173520587431895
"cg06295987",-0.131701033444445,0.515063607003872,0.0173520587431895
"cg16818568",-0.00530827444444443,0.979131176786388,0.0173520587431895
"cg19248407",-0.00364196777777781,0.985645741380779,0.0173520587431895
"cg11153505",0.00106212033333331,0.995792807455928,0.0173520587431895
"cg05452174",-0.0065862499999999,0.973849047888116,0.0173520587431895
"cg12397118",-0.000192273333333326,0.999227308172052,0.0173520587431895
"cg06559318",0.058029180111111,0.769212640744294,0.0173520587431895
"cg25285484",0.0171373514444444,0.93092866226077,0.0173520587431895
"cg15395171",-0.0184812466666667,0.925167569401627,0.0173520587431895
"cg07365741",-0.0109251344444444,0.955287505613657,0.0173520587431895
"cg16123583",0.211551378888889,0.267288577118479,0.0173520587431895
"cg22564046",0.0138885433333333,0.943033708402391,0.0173520587431895
"cg09233619",0.00696683333333331,0.971272971014989,0.0173520587431895
"cg16112880",-0.00410790555555557,0.983036609624162,0.0173520587431895
"rs5926356",-0.00445959111111111,0.981540126249658,0.0173520587431895
"cg17040924",-0.00688520111111113,0.971484293448989,0.0173520587431895
"cg06031234",0.00629081222222228,0.973938548994668,0.0173520587431895
"cg00279662",-0.0131298,0.945519647077939,0.0173520587431895
"rs1416770",-0.00577541333333331,0.975999021616786,0.0173520587431895
"cg21211688",0.0303994385555556,0.874015617929534,0.0173520587431895
"cg04957662",-0.00546811444444445,0.977248798277697,0.0173520587431895
"rs6626309",-0.00532398111111115,0.977810642021903,0.0173520587431895
"cg19081270",0.00659990477777778,0.972494222657119,0.0173520587431895
"cg17682313",-0.158664488888889,0.401687621897941,0.0173520587431895
"rs4742386",-0.00616460555555554,0.974293116667963,0.0173520587431895
"rs2468330",-0.000412844444444449,0.998276187945774,0.0173520587431895
"rs5987737",0.00166640777777782,0.993018803985771,0.0173520587431895
"cg01245604",0.00379086888888885,0.984098176829053,0.0173520587431895
"cg06405219",-0.00115084444444447,0.995171198341168,0.0173520587431895
"cg11738485",0.00426779777777775,0.98207269537827,0.0173520587431895
"cg08880261",0.0029705533333334,0.987451731485749,0.0173520587431895
"cg18816122",0.00594527855555554,0.974860538352941,0.0173520587431895
"cg23409591",-0.275132250777778,0.129930348119269,0.0173520587431895
"cg21463262",-0.00175032111111106,0.992578413476084,0.0173520587431895
"rs2032088",-0.00828580888888891,0.964767836930736,0.0173520587431895
"cg21259115",0.0022258822222222,0.990508440535625,0.0173520587431895
"cg04843630",0.0564850577777778,0.761998487773928,0.0173520587431895
"cg00718752",-0.00510644111111114,0.978063216253706,0.0173520587431895
"cg12568536",-0.00835317111111111,0.964092034427844,0.0173520587431895
"cg03165426",0.0142093577777779,0.938833553988039,0.0173520587431895
"rs348937",-0.00517161444444447,0.977709674654451,0.0173520587431895
"cg02610327",-0.0060774624444444,0.97379799663942,0.0173520587431895
"cg12381531",9.93655555555639e-05,0.999571516257575,0.0173520587431895
"cg17004290",0.0057391366666667,0.975248986227996,0.0173520587431895
"rs2521373",0.00780431444444446,0.966296819799582,0.0173520587431895
"cg16899969",-0.00287357777777775,0.98758417826764,0.0173520587431895
"cg13774807",0.00540374222222229,0.976651314632804,0.0173520587431895
"cg06273195",-0.00615334777777776,0.973369248225064,0.0173520587431895
"cg15669985",-0.0147935333333333,0.935962956348696,0.0173520587431895
"cg01127608",0.00360781666666665,0.98435799557654,0.0173520587431895
"cg19300401",-0.00405424444444435,0.98234406411149,0.0173520587431895
"cg18213661",0.0111668955555555,0.95129181360871,0.0173520587431895
"cg15291273",-0.10697812,0.555876029886373,0.0173520587431895
"cg03485872",-0.00913029666666665,0.959947876250117,0.0173520587431895
"cg22274273",-0.00835249888888889,0.963346868173103,0.0173520587431895
"cg17348244",-0.0259810555555555,0.886191693893971,0.0173520587431895
"cg18619880",-0.109625216888889,0.543531720821682,0.0173520587431895
"cg09535768",-0.00846493122222225,0.962781245025364,0.0173520587431895
"cg13324220",-0.011679898888889,0.948612656966814,0.0173520587431895
"cg12957945",-0.0155776555555556,0.9312395677682,0.0173520587431895
"cg19697575",-0.0125360511111111,0.944633296083271,0.0173520587431895
"cg19843426",-0.00119406333333333,0.994721558270259,0.0173520587431895
"cg27079096",0.00619810222222222,0.972604024093171,0.0173520587431895
"cg08210706",0.00164848222222225,0.992711530220565,0.0173520587431895
"cg19284918",-0.000528823333333373,0.997660872844126,0.0173520587431895
"cg18554395",0.195021434555556,0.270189829139187,0.0173520587431895
"cg08914944",-0.00682813222222223,0.96974750123549,0.0173520587431895
"cg17151385",0.04999895,0.780591284563563,0.0173520587431895
"cg24643105",0.00250372222222228,0.988883350490004,0.0173520587431895
"cg16995742",0.00870001666666664,0.961354326216684,0.0173520587431895
"cg08238375",-0.00486761222222221,0.978347687914904,0.0173520587431895
"cg02173328",-0.00388673777777782,0.982704667656898,0.0173520587431895
"cg06728147",0.00307135666666664,0.98632697198316,0.0173520587431895
"cg04540199",0.00266209444444443,0.988142881338255,0.0173520587431895
"cg00295418",-0.00145780177777777,0.993504412496304,0.0173520587431895
"cg18285337",-0.00471114333333333,0.979003514159039,0.0173520587431895
"cg25099095",-0.00500955999999997,0.977629528413974,0.0173520587431895
"cg17802005",-0.114033600888889,0.52038415643126,0.0173520587431895
"cg10528424",-0.0109894733333333,0.950904193294991,0.0173520587431895
"cg03122926",-0.00390916400000002,0.982511256031984,0.0173520587431895
